Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[9]     29.3    0.06    0.50 9262797         std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, Vect2<int> const&, unsigned long) const [9]
                0.07    0.43 9262797/9262797     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, Vect2<int> const&, unsigned long) const [11]
-----------------------------------------------
                0.00    0.04  409607/4764285     BoolChunkLoader::set(Vect2<int>, bool) [13]
                0.05    0.44 4354678/4764285     BoolChunkLoader::get(Vect2<int>) const [5]
[10]    27.4    0.05    0.48 4764285         std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::find(Vect2<int> const&) [10]
                0.04    0.44 4764285/9262795     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(Vect2<int> const&) [6]
-----------------------------------------------
                0.07    0.43 9262797/9262797     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, Vect2<int> const&, unsigned long) const [9]
[11]    26.2    0.07    0.43 9262797         std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, Vect2<int> const&, unsigned long) const [11]
                0.08    0.35 9060343/9060343     std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(Vect2<int> const&, unsigned long, std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&) const [12]
-----------------------------------------------
                0.08    0.35 9060343/9060343     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, Vect2<int> const&, unsigned long) const [11]
[12]    22.5    0.08    0.35 9060343         std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(Vect2<int> const&, unsigned long, std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&) const [12]
                0.01    0.09 9060343/9060445     decltype ((get<0>)((forward<std::pair<Vect2<int> const, BoolChunk*> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*> const&) const [19]
                0.01    0.09 9060343/9060445     std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_v() const [20]
                0.04    0.04 9060343/9060343     std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const [25]
                0.01    0.02 9060343/9060343     std::equal_to<Vect2<int> >::operator()(Vect2<int> const&, Vect2<int> const&) const [40]
                0.03    0.00 9060343/9060343     std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&) [44]
-----------------------------------------------
                0.00    0.00       7/409607      Offset2D::set(Vect2<int>, bool) [86]
                0.01    0.15  409600/409607      tick(BoolChunkLoader&, BoolChunkLoader&) [3]
[13]     8.1    0.01    0.15  409607         BoolChunkLoader::set(Vect2<int>, bool) [13]
                0.01    0.05  409607/4498510     std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::at(Vect2<int> const&) [7]
                0.00    0.04  409607/4764285     std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::find(Vect2<int> const&) [10]
                0.00    0.02  409607/409607      BoolChunk::set(Vect2<int>, bool) [47]
                0.01    0.00  409607/4764285     Vect2<int>::operator-(Vect2<int> const&) [18]
                0.00    0.01       2/2           std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::insert(std::pair<Vect2<int> const, BoolChunk*>&&) [60]
                0.00    0.00  409607/4764485     std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::end() [32]
                0.00    0.00  409607/14292863     Vect2<int>::Vect2(int, int) [15]
                0.00    0.00  409607/4764285     std::__detail::operator==(std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false> const&, std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false> const&) [101]
                0.00    0.00       2/2           BoolChunk::BoolChunk() [156]
                0.00    0.00       2/2           std::pair<Vect2<int> const, BoolChunk*>::pair<Vect2<int>&, BoolChunk*, true>(Vect2<int>&, BoolChunk*&&) [169]
-----------------------------------------------
                0.00    0.00       2/9262899     std::pair<std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>, bool> std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace<std::pair<Vect2<int> const, BoolChunk*> >(std::integral_constant<bool, true>, std::pair<Vect2<int> const, BoolChunk*>&&) [59]
                0.00    0.00     102/9262899     std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&, unsigned long) const [80]
                0.02    0.13 9262795/9262899     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(Vect2<int> const&) [6]
[14]     8.0    0.02    0.14 9262899         std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(Vect2<int> const&) const [14]
                0.03    0.06 9262899/9262899     std::hash<Vect2<int> >::operator()(Vect2<int> const&) const [23]
                0.01    0.04 9262899/9262899     std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const [34]
-----------------------------------------------
                0.00    0.00       1/14292863     main [1]
                0.00    0.00       7/14292863     set_acorn(BoolGrid2D&&) [85]
                0.00    0.00       7/14292863     Vect2<int>::operator+(Vect2<int> const&) [93]
                0.00    0.00  252500/14292863     print_board_compact(BoolGrid2D const&, int) [22]
                0.00    0.00  409607/14292863     BoolChunkLoader::set(Vect2<int>, bool) [13]
                0.00    0.00  415778/14292863     tick(BoolChunkLoader&, BoolChunkLoader&) [3]
                0.03    0.00 4096000/14292863     sum_neighbours(BoolGrid2D const&, int, int) [4]
                0.04    0.00 4354678/14292863     BoolChunkLoader::get(Vect2<int>) const [5]
                0.04    0.00 4764285/14292863     Vect2<int>::operator-(Vect2<int> const&) [18]
[15]     6.2    0.12    0.00 14292863         Vect2<int>::Vect2(int, int) [15]
-----------------------------------------------
                0.00    0.11 4088903/4088903     BoolChunkLoader::get(Vect2<int>) const [5]
[16]     5.7    0.00    0.11 4088903         BoolChunk::get(Vect2<int>) const [16]
                0.10    0.01 4088903/4088903     BoolChunk::read(int, int) const [17]
-----------------------------------------------
                0.10    0.01 4088903/4088903     BoolChunk::get(Vect2<int>) const [16]
[17]     5.7    0.10    0.01 4088903         BoolChunk::read(int, int) const [17]
                0.01    0.00 4088903/4088903     get_bit(unsigned char, int) [57]
-----------------------------------------------
                0.01    0.00  409607/4764285     BoolChunkLoader::set(Vect2<int>, bool) [13]
                0.06    0.04 4354678/4764285     BoolChunkLoader::get(Vect2<int>) const [5]
[18]     5.7    0.07    0.04 4764285         Vect2<int>::operator-(Vect2<int> const&) [18]
                0.04    0.00 4764285/14292863     Vect2<int>::Vect2(int, int) [15]
-----------------------------------------------
                0.00    0.00     102/9060445     std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&, unsigned long) const [80]
                0.01    0.09 9060343/9060445     std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(Vect2<int> const&, unsigned long, std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&) const [12]
[19]     5.7    0.01    0.09 9060445         decltype ((get<0>)((forward<std::pair<Vect2<int> const, BoolChunk*> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*> const&) const [19]
                0.06    0.00 9060445/9060853     std::pair<Vect2<int> const, BoolChunk*> const& std::forward<std::pair<Vect2<int> const, BoolChunk*> const&>(std::remove_reference<std::pair<Vect2<int> const, BoolChunk*> const&>::type&) [29]
                0.01    0.03 9060445/9060445     std::tuple_element<0ul, std::pair<Vect2<int> const, BoolChunk*> >::type const& std::get<0ul, Vect2<int> const, BoolChunk*>(std::pair<Vect2<int> const, BoolChunk*> const&) [39]
-----------------------------------------------
                0.00    0.00     102/9060445     std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&, unsigned long) const [80]
                0.01    0.09 9060343/9060445     std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(Vect2<int> const&, unsigned long, std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&) const [12]
[20]     5.4    0.01    0.09 9060445         std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_v() const [20]
                0.04    0.05 9060445/9060445     std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_valptr() const [24]
-----------------------------------------------
                0.00    0.00       2/14027382     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*, unsigned long) [72]
                0.00    0.00     100/14027382     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::begin() [89]
                0.01    0.02 4764485/14027382     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() [31]
                0.03    0.04 9262795/14027382     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(Vect2<int> const&) [6]
[21]     5.2    0.04    0.06 14027382         std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*) [21]
                0.06    0.00 14027382/14027382     std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*) [27]
-----------------------------------------------
                0.00    0.00       1/101         main [1]
                0.00    0.09     100/101         run_simulation(BoolChunkLoader, int, int, float) [2]
[22]     4.7    0.00    0.09     101         print_board_compact(BoolGrid2D const&, int) [22]
                0.01    0.08  252500/4354678     BoolChunkLoader::get(Vect2<int>) const [5]
                0.00    0.00  252500/14292863     Vect2<int>::Vect2(int, int) [15]
-----------------------------------------------
                0.03    0.06 9262899/9262899     std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(Vect2<int> const&) const [14]
[23]     4.7    0.03    0.06 9262899         std::hash<Vect2<int> >::operator()(Vect2<int> const&) const [23]
                0.03    0.03 9262899/9262899     Vect2<int>::hash() const [28]
-----------------------------------------------
                0.04    0.05 9060445/9060445     std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_v() const [20]
[24]     4.7    0.04    0.05 9060445         std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_valptr() const [24]
                0.04    0.01 9060445/9060445     __gnu_cxx::__aligned_buffer<std::pair<Vect2<int> const, BoolChunk*> >::_M_ptr() const [33]
-----------------------------------------------
                0.04    0.04 9060343/9060343     std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(Vect2<int> const&, unsigned long, std::__detail::_Hash_node_value<std::pair<Vect2<int> const, BoolChunk*>, false> const&) const [12]
[25]     4.1    0.04    0.04 9060343         std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const [25]
                0.04    0.00 9060343/9060343     std::__detail::_Hashtable_ebo_helper<0, std::equal_to<Vect2<int> >, true>::_M_cget() const [37]
-----------------------------------------------
                0.00    0.00       2/9262799     std::pair<std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>, bool> std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace<std::pair<Vect2<int> const, BoolChunk*> >(std::integral_constant<bool, true>, std::pair<Vect2<int> const, BoolChunk*>&&) [59]
                0.00    0.00       2/9262799     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*, unsigned long) [72]
                0.03    0.04 9262795/9262799     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(Vect2<int> const&) [6]
[26]     3.9    0.03    0.04 9262799         std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const [26]
                0.01    0.03 9262799/9262799     std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const [35]
-----------------------------------------------
                0.06    0.00 14027382/14027382     std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*) [21]
[27]     3.1    0.06    0.00 14027382         std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*) [27]
-----------------------------------------------
                0.03    0.03 9262899/9262899     std::hash<Vect2<int> >::operator()(Vect2<int> const&) const [23]
[28]     3.1    0.03    0.03 9262899         Vect2<int>::hash() const [28]
                0.03    0.00 18525798/18525798     std::hash<int>::operator()(int) const [41]
-----------------------------------------------
                0.00    0.00     102/9060853     std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::operator()<std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*> const&) const [83]
                0.00    0.00     102/9060853     std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::_M_allocate_node<std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*> const&) [84]
                0.00    0.00     102/9060853     void std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::construct<std::pair<Vect2<int> const, BoolChunk*>, std::pair<Vect2<int> const, BoolChunk*> const&>(std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >&, std::pair<Vect2<int> const, BoolChunk*>*, std::pair<Vect2<int> const, BoolChunk*> const&) [87]
                0.00    0.00     102/9060853     void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::construct<std::pair<Vect2<int> const, BoolChunk*>, std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*>*, std::pair<Vect2<int> const, BoolChunk*> const&) [91]
                0.06    0.00 9060445/9060853     decltype ((get<0>)((forward<std::pair<Vect2<int> const, BoolChunk*> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*> const&) const [19]
[29]     3.1    0.06    0.00 9060853         std::pair<Vect2<int> const, BoolChunk*> const& std::forward<std::pair<Vect2<int> const, BoolChunk*> const&>(std::remove_reference<std::pair<Vect2<int> const, BoolChunk*> const&>::type&) [29]
-----------------------------------------------
                0.00    0.00  429000/4927510     tick(BoolChunkLoader&, BoolChunkLoader&) [3]
                0.02    0.04 4498510/4927510     std::__detail::_Map_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::at(Vect2<int> const&) [8]
[30]     3.1    0.02    0.04 4927510         std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>::operator->() const [30]
                0.02    0.02 4927510/4927820     std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_valptr() [38]
-----------------------------------------------
                0.02    0.03 4764485/4764485     std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::end() [32]
[31]     2.8    0.02    0.03 4764485         std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() [31]
                0.01    0.02 4764485/14027382     std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>*) [21]
-----------------------------------------------
                0.00    0.00     200/4764485     tick(BoolChunkLoader&, BoolChunkLoader&) [3]
                0.00    0.00  409607/4764485     BoolChunkLoader::set(Vect2<int>, bool) [13]
                0.00    0.05 4354678/4764485     BoolChunkLoader::get(Vect2<int>) const [5]
[32]     2.8    0.00    0.05 4764485         std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::end() [32]
                0.02    0.03 4764485/4764485     std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end() [31]
-----------------------------------------------
                0.04    0.01 9060445/9060445     std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_valptr() const [24]
[33]     2.6    0.04    0.01 9060445         __gnu_cxx::__aligned_buffer<std::pair<Vect2<int> const, BoolChunk*> >::_M_ptr() const [33]
                0.01    0.00 9060445/9060445     __gnu_cxx::__aligned_buffer<std::pair<Vect2<int> const, BoolChunk*> >::_M_addr() const [64]
-----------------------------------------------
                0.01    0.04 9262899/9262899     std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(Vect2<int> const&) const [14]
[34]     2.3    0.01    0.04 9262899         std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const [34]
                0.04    0.00 9262899/9262899     std::__detail::_Hashtable_ebo_helper<1, std::hash<Vect2<int> >, true>::_M_cget() const [36]
-----------------------------------------------
