Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  1.30      1.67     0.03  9060343     0.00     0.00  std::__detail::_Hashtable_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  1.04      1.69     0.02  9262899     0.00     0.00  std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(Vect2<int> const&) const
  1.04      1.71     0.02  9060343     0.00     0.00  Vect2<int>::operator==(Vect2<int> const&) const
  1.04      1.73     0.02  4927820     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Vect2<int> const, BoolChunk*> >::_M_ptr()
  1.04      1.75     0.02  4927820     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_valptr()
  1.04      1.76     0.02  4927510     0.00     0.00  std::__detail::_Node_iterator<std::pair<Vect2<int> const, BoolChunk*>, false, false>::operator->() const
  1.04      1.78     0.02  4764485     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end()
  0.78      1.80     0.01  9262799     0.00     0.00  std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.78      1.81     0.01  9060445     0.00     0.00  decltype ((get<0>)((forward<std::pair<Vect2<int> const, BoolChunk*> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<Vect2<int> const, BoolChunk*> const&>(std::pair<Vect2<int> const, BoolChunk*> const&) const
  0.78      1.83     0.01  9060445     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<Vect2<int> const, BoolChunk*> >::_M_v() const
  0.78      1.84     0.01  9060343     0.00     0.00  std::equal_to<Vect2<int> >::operator()(Vect2<int> const&, Vect2<int> const&) const
  0.52      1.85     0.01  9060445     0.00     0.00  std::tuple_element<0ul, std::pair<Vect2<int> const, BoolChunk*> >::type const& std::get<0ul, Vect2<int> const, BoolChunk*>(std::pair<Vect2<int> const, BoolChunk*> const&)
  0.52      1.86     0.01  4088903     0.00     0.00  get_bit(unsigned char, int)
  0.52      1.88     0.01   409607     0.00     0.00  set_bit(unsigned char*, int, bool)
  0.52      1.89     0.01   409607     0.00     0.00  BoolChunkLoader::set(Vect2<int>, bool)
  0.52      1.90     0.01   409607     0.00     0.00  BoolChunk::write(int, int, bool)
  0.52      1.91     0.01      102     0.00     0.00  std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>* std::addressof<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>&)
  0.26      1.91     0.01  9262899     0.00     0.00  std::__detail::_Hash_code_base<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::__detail::_Select1st, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.26      1.92     0.01  9060445     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Vect2<int> const, BoolChunk*> >::_M_addr() const
  0.26      1.92     0.01      102     0.00     0.00  std::allocator_traits<std::allocator<std::__detail::_Hash_node_base*> >::deallocate(std::allocator<std::__detail::_Hash_node_base*>&, std::__detail::_Hash_node_base**, unsigned long)
  0.26      1.93     0.01      102     0.00     0.00  std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>* std::__addressof<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >(std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>&)
  0.26      1.93     0.01        2     0.00     0.00  void std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::construct<std::pair<Vect2<int> const, BoolChunk*>, std::pair<Vect2<int> const, BoolChunk*> >(std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >&, std::pair<Vect2<int> const, BoolChunk*>*, std::pair<Vect2<int> const, BoolChunk*>&&)
  0.00      1.93     0.00  4927820     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<Vect2<int> const, BoolChunk*> >::_M_addr()
  0.00      1.93     0.00  4764485     0.00     0.00  std::unordered_map<Vect2<int>, BoolChunk*, std::hash<Vect2<int> >, std::equal_to<Vect2<int> >, std::allocator<std::pair<Vect2<int> const, BoolChunk*> > >::end()
  0.00      1.93     0.00  4764285     0.00     0.00  std::__detail::operator==(std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false> const&, std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false> const&)
  0.00      1.93     0.00  4088903     0.00     0.00  BoolChunk::get(Vect2<int>) const
  0.00      1.93     0.00   409607     0.00     0.00  BoolChunk::set(Vect2<int>, bool)
  0.00      1.93     0.00      618     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::_M_node_allocator()
  0.00      1.93     0.00      618     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >, true>::_M_get()
  0.00      1.93     0.00      510     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_begin() const
  0.00      1.93     0.00      304     0.00     0.00  std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false>::_M_next() const
  0.00      1.93     0.00      208     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      1.93     0.00      208     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.93     0.00      206     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::new_allocator()
  0.00      1.93     0.00      206     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::~new_allocator()
  0.00      1.93     0.00      206     0.00     0.00  std::allocator<std::__detail::_Hash_node_base*>::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >(std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > const&)
  0.00      1.93     0.00      206     0.00     0.00  std::allocator<std::__detail::_Hash_node_base*>::~allocator()
  0.00      1.93     0.00      204     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::new_allocator(__gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > const&)
  0.00      1.93     0.00      204     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::~new_allocator()
  0.00      1.93     0.00      204     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::allocator(std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > const&)
  0.00      1.93     0.00      204     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::~allocator()
  0.00      1.93     0.00      204     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >&& std::forward<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >(std::remove_reference<std::allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> > >::type&)
  0.00      1.93     0.00      200     0.00     0.00  std::__detail::operator!=(std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false> const&, std::__detail::_Node_iterator_base<std::pair<Vect2<int> const, BoolChunk*>, false> const&)
  0.00      1.93     0.00      104     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::allocate(unsigned long, void const*)
  0.00      1.93     0.00      104     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::allocate(unsigned long, void const*)
  0.00      1.93     0.00      104     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<Vect2<int> const, BoolChunk*>, false> >::_M_max_size() const
  0.00      1.93     0.00      104     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node_base*>::_M_max_size() const
  0.00      1.93     0.00      104     0.00     0.00  std::_Hashtable<Vect2<int>, std::pair<Vect2<int> const, BoolChunk*>, std::allocator<std::pair<Vect2<int> const, BoolChunk*> >, std::__detail::_Select1st, std::equal_to<Vect2<int> >, std::hash<Vect2<int> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_uses_single_bucket(std::__detail::_Hash_node_base**) const
